0.00;0.00;0.00;0.000;0.00;0.00;0.00;0.00;0.00;0;
0.10;0.04;-40.05;2.275;7.65;0.40;-40.10;2.30;0.00;0;
0.20;0.08;-40.05;2.275;7.70;0.40;-40.10;2.30;0.00;0;
0.30;0.11;-40.05;2.275;7.75;0.40;-40.10;2.30;0.00;0;
0.40;0.15;-40.05;2.275;7.80;0.40;-40.10;2.30;0.00;0;
0.50;0.19;-40.05;2.275;7.85;0.40;-40.10;2.30;0.00;0;
0.60;0.23;-40.05;2.275;7.90;0.40;-40.10;2.30;0.00;0;
0.70;0.26;-40.05;2.275;7.95;0.40;-40.10;2.30;0.00;0;
0.80;0.30;-40.05;2.275;8.00;0.40;-40.10;2.30;0.00;0;
0.90;0.34;-40.05;2.275;8.05;0.40;-40.10;2.30;0.00;0;
1.00;0.38;-40.05;2.275;8.10;0.40;-40.10;2.30;0.00;0;
1.10;0.42;-40.05;2.275;8.15;0.40;-40.10;2.30;0.00;0;
1.20;0.45;-40.05;2.275;8.20;0.40;-40.10;2.30;0.00;0;
1.30;0.49;-40.05;2.275;8.25;0.40;-40.10;2.30;0.00;0;
1.40;0.53;-40.05;2.275;8.30;0.40;-40.10;2.30;0.00;0;
1.50;0.57;-40.05;2.275;8.35;0.40;-40.10;2.30;0.00;0;
1.60;0.60;-40.05;2.275;8.40;0.40;-40.10;2.30;0.00;0;
1.70;0.64;-40.05;2.275;8.45;0.40;-40.10;2.30;0.00;0;
1.80;0.68;-40.05;2.275;8.50;0.40;-40.10;2.30;0.00;0;
1.90;0.72;-40.05;2.275;8.55;0.40;-40.10;2.30;0.00;0;
2.00;0.75;-40.05;2.275;8.60;0.40;-40.10;2.30;0.00;0;
2.10;0.79;-40.05;2.275;8.65;0.40;-40.10;2.30;0.00;0;
2.20;0.83;-40.05;2.275;8.70;0.40;-40.10;2.30;0.00;0;
2.30;0.87;-40.05;2.275;8.75;0.40;-40.10;2.30;0.00;0;
2.40;0.91;-40.05;2.275;8.80;0.00;0.00;0.00;0.00;0;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;; 
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
