0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
0.10;42.45;32.82;0.04;1.35;426.10;32.80;0.00;8270.20;30247.00
0.20;85.10;32.83;0.04;1.40;426.90;32.80;0.00;8301.00;30349.00
0.30;127.83;32.84;0.04;1.45;427.70;32.80;0.00;8332.30;30451.00
0.40;170.64;32.85;0.04;1.50;428.50;32.90;0.00;8363.90;30552.00
0.50;213.53;32.86;0.04;1.55;429.30;32.90;0.00;8395.90;30653.00
0.60;256.50;32.87;0.04;1.60;430.10;32.90;0.00;8428.30;30754.00
0.70;299.55;32.88;0.04;1.65;430.90;32.90;0.00;8461.10;30854.00
0.80;342.68;32.89;0.04;1.70;431.70;32.90;0.00;8494.40;30954.00
0.90;385.89;32.90;0.04;1.75;432.50;33.00;0.00;8528.00;31054.00
1.00;429.18;32.91;0.04;1.80;433.30;33.00;0.00;8562.10;31153.00
1.10;472.54;32.92;0.04;1.85;434.10;33.00;0.00;8596.60;31252.00
1.20;515.99;32.93;0.04;1.90;434.90;33.00;0.00;8631.50;31351.00
1.30;559.52;32.94;0.04;1.95;435.70;33.00;0.00;8666.90;31449.00
1.40;603.12;32.95;0.04;2.00;436.50;33.10;0.00;8702.70;31547.00
1.50;646.81;32.96;0.04;2.05;437.20;33.10;0.00;8738.90;31645.00
1.60;690.57;32.97;0.04;2.10;438.00;33.10;0.00;8775.50;31742.00
1.70;734.42;32.98;0.04;2.15;438.80;33.10;0.00;8812.60;31839.00
1.80;778.34;32.99;0.04;2.20;439.60;33.10;0.00;8850.10;31936.00
1.90;822.34;33.00;0.04;2.26;440.40;33.20;0.00;8888.10;32032.00
2.00;866.39;33.01;0.04;2.31;440.40;33.20;0.00;8888.20;32033.00
2.10;910.43;33.01;0.04;2.36;440.40;33.20;0.00;8888.20;32033.00
2.20;954.47;33.02;0.04;2.41;440.40;33.20;0.00;8888.20;32033.00
2.30;998.51;33.03;0.04;2.46;440.40;33.20;0.00;8888.20;32033.00
2.40;1042.56;33.04;0.04;2.51;440.40;33.20;0.00;8888.20;32033.00
2.50;1086.60;33.04;0.04;2.56;440.40;33.20;0.00;8888.20;32033.00
2.60;1130.64;33.05;0.04;2.61;440.40;33.20;0.00;8888.20;32033.00
2.70;1174.69;33.05;0.04;2.66;440.40;33.20;0.00;8888.20;32033.00
2.80;1218.73;33.06;0.04;2.71;440.40;33.20;0.00;8888.20;32033.00
2.90;1262.77;33.06;0.04;2.76;440.40;33.20;0.00;8888.20;32033.00
3.00;1306.81;33.06;0.04;2.81;440.40;33.20;0.00;8888.20;32033.00
3.10;1350.86;33.07;0.04;2.86;440.40;33.20;0.00;8888.20;32033.00
3.20;1394.90;33.07;0.04;2.91;440.40;33.20;0.00;8888.20;32033.00
3.30;1438.94;33.07;0.04;2.96;440.40;33.20;0.00;8888.20;32033.00
3.40;1482.98;33.08;0.04;3.01;440.40;33.20;0.00;8888.20;32033.00
3.50;1527.03;33.08;0.04;3.06;440.40;33.20;0.00;8888.20;32033.00
