0.00;0;0.00;0.000;0.00;0.00;0.0;0.00;0;0
0.10;0;-58.60;3.128;7.73;0.00;-58.4;3.2;0.5;158
0.20;0.01;-59.09;3.153;7.81;0.30;-58.8;3.2;0;0
0.30;0.06;-59.52;3.181;7.89;0.60;-58.9;3.2;0;0
0.40;0.14;-59.64;3.223;7.96;1.00;-58.9;3.3;0;0
0.50;0.25;-59.69;3.267;8.03;1.30;-58.9;3.4;0;0
0.60;0.4;-59.72;3.312;8.10;1.60;-58.9;3.4;0.1;0
0.70;0.57;-59.74;3.357;8.16;1.90;-58.9;3.5;0.1;0
0.80;0.78;-59.75;3.400;8.23;2.20;-58.9;3.6;0.2;0
0.90;1.02;-59.76;3.442;8.30;2.50;-59.0;3.6;0.3;1
1.00;1.3;-59.79;3.478;8.36;3.10;-59.3;3.6;0.4;4
1.10;1.63;-59.83;3.510;8.44;3.60;-59.5;3.7;0.6;6
1.20;2.02;-59.88;3.540;8.51;4.00;-59.6;3.7;0.7;8
1.30;2.44;-59.92;3.569;8.58;4.40;-59.7;3.7;0.9;10
1.40;2.9;-59.96;3.597;8.65;4.80;-59.8;3.8;1;12
1.50;3.41;-59.99;3.625;8.72;5.20;-59.8;3.8;1.2;13
1.60;3.95;-60.02;3.652;8.78;5.60;-59.9;3.8;1.5;15
1.70;4.54;-60.05;3.680;8.85;6.10;-59.9;3.9;1.7;16
1.80;5.16;-60.07;3.707;8.92;6.50;-59.9;3.9;2;18
1.90;5.83;-60.09;3.735;8.99;6.90;-60.0;4.0;2.3;19
2.00;6.53;-60.11;3.764;9.06;7.20;-60.0;4.0;2.6;21
2.10;7.27;-60.13;3.791;9.12;7.60;-60.0;4.1;2.9;22
2.20;8.05;-60.15;3.818;9.19;7.90;-60.1;4.1;3.2;23
2.30;8.85;-60.16;3.845;9.25;8.20;-60.1;4.1;3.6;24
2.40;9.69;-60.17;3.871;9.32;8.50;-60.1;4.2;3.9;25
2.50;10.56;-60.19;3.896;9.39;8.80;-60.1;4.2;4.3;26
2.60;11.45;-60.20;3.921;9.45;9.10;-60.1;4.2;4.7;27
2.70;12.38;-60.21;3.946;9.51;9.40;-60.1;4.3;5.1;28
2.80;13.33;-60.22;3.970;9.58;9.70;-60.1;4.3;5.5;29
2.90;14.31;-60.22;3.993;9.64;9.90;-60.1;4.3;5.9;30
3.00;15.32;-60.23;4.017;9.71;10.20;-60.2;4.4;6.3;31
3.10;16.36;-60.24;4.040;9.77;10.50;-60.2;4.4;6.8;32
3.20;17.42;-60.25;4.062;9.83;10.80;-60.2;4.4;7.3;33
3.30;18.51;-60.25;4.085;9.90;11.00;-60.2;4.5;7.8;34
3.40;19.63;-60.26;4.107;9.96;11.30;-60.2;4.5;8.3;35
3.49;20.63;-60.26;4.126;10.02;0.00;0.0;0.0;0;0
