0;0;0;0;0;0;0;0;0;0
0.1;7.39;4.4;1.45;0.06;109.5;4.4;1.9;131.7;9233
0.2;18.33;4.4;1.719;0.11;109.5;4.4;1.9;131.7;9233
0.3;29.28;4.4;1.786;0.16;109.5;4.4;1.9;131.7;9233
0.4;40.23;4.4;1.817;0.22;109.5;4.4;1.9;131.7;9233
0.5;51.18;4.4;1.835;0.27;109.5;4.4;1.9;131.7;9233
0.6;62.13;4.4;1.846;0.32;109.5;4.4;1.9;131.7;9233
0.7;73.08;4.4;1.854;0.37;109.5;4.4;1.9;131.7;9233
0.8;84.03;4.4;1.86;0.42;109.5;4.4;1.9;131.7;9233
0.9;94.97;4.4;1.865;0.47;109.5;4.4;1.9;131.7;9233
1;105.92;4.4;1.869;0.52;109.5;4.4;1.9;131.7;9233
1.1;116.87;4.4;1.872;0.57;109.5;4.4;1.9;131.7;9233
1.2;127.82;4.4;1.874;0.62;109.5;4.4;1.9;131.7;9233
1.3;138.77;4.4;1.876;0.67;0;0;0;0;0
