0;0;0;0;0;0;0;0;0;0
0.1;4.28;-23.87;-4.869;0.15;81.4;-23;-5.3;71.2;4978
0.2;14.24;-23.11;-5.469;0.21;107.3;-22.6;-5.9;171.9;6463
0.3;25.32;-22.98;-5.667;0.26;113.7;-22.8;-6;198.6;6955
0.4;36.91;-22.96;-5.773;0.32;118;-22.8;-6;218.9;7292
0.5;48.9;-22.97;-5.846;0.37;121.6;-22.9;-6.1;236.4;7571
0.6;61.22;-22.98;-5.903;0.42;124.7;-23;-6.2;252;7817
0.7;73.85;-23.01;-5.949;0.47;127.6;-23.1;-6.2;266.8;8104
0.8;86.73;-23.03;-5.987;0.53;129.7;-23.1;-6.2;277.5;8280
0.9;99.8;-23.06;-6.02;0.58;131.7;-23.2;-6.3;287.7;8445
1;113.05;-23.09;-6.049;0.63;133.3;-23.2;-6.3;295.8;8583
1.1;126.45;-23.11;-6.074;0.69;134.7;-23.2;-6.3;303.2;8702
1.2;139.98;-23.13;-6.097;0.74;136;-23.3;-6.3;310;8815
1.22;142.46;-23.14;-6.101;0.75;0;0;0;0;0
