0;0;0;0;0;0;0;0;0;0
0.1;3.46;4.4;-8.7;3.45;34.6;4.4;-8.7;4.1;2916
0.2;6.91;4.4;-8.7;3.5;34.6;4.4;-8.7;4.1;2916
0.3;10.37;4.4;-8.7;3.55;34.6;4.4;-8.7;4.1;2916
0.4;13.83;4.4;-8.7;3.6;34.6;4.4;-8.7;4.1;2916
0.5;17.29;4.4;-8.7;3.65;34.6;4.4;-8.7;4.1;2916
0.6;20.74;4.4;-8.7;3.7;34.6;4.4;-8.7;4.1;2916
0.7;24.2;4.4;-8.7;3.75;34.6;4.4;-8.7;4.1;2916
0.8;27.66;4.4;-8.7;3.8;34.6;4.4;-8.7;4.1;2916
0.9;31.12;4.4;-8.7;3.85;34.6;4.4;-8.7;4.1;2916
1;34.57;4.4;-8.7;3.9;34.6;4.4;-8.7;4.1;2916
1.1;38.03;4.4;-8.7;3.95;34.6;4.4;-8.7;4.1;2916
1.2;41.49;4.4;-8.7;4;34.6;4.4;-8.7;4.1;2916
1.3;44.95;4.4;-8.7;4.05;34.6;4.4;-8.7;4.1;2916
1.4;48.4;4.4;-8.7;4.1;34.6;4.4;-8.7;4.1;2916
1.5;51.86;4.4;-8.7;4.15;34.6;4.4;-8.7;4.1;2916
1.6;55.32;4.4;-8.7;4.2;34.6;4.4;-8.7;4.1;2916
1.7;58.78;4.4;-8.7;4.25;34.6;4.4;-8.7;4.1;2916
1.8;62.23;4.4;-8.7;4.3;34.6;4.4;-8.7;4.1;2916
1.9;65.69;4.4;-8.7;4.35;34.6;4.4;-8.7;4.1;2916
2;69.15;4.4;-8.7;4.4;34.6;4.4;-8.7;4.1;2916
2.1;72.61;4.4;-8.7;4.45;34.6;4.4;-8.7;4.1;2916
2.2;76.06;4.4;-8.7;4.5;34.6;4.4;-8.7;4.1;2916
2.3;79.52;4.4;-8.7;4.55;34.6;4.4;-8.7;4.1;2916
2.4;82.98;4.4;-8.7;4.6;34.6;4.4;-8.7;4.1;2916
2.5;86.44;4.4;-8.7;4.65;34.6;4.4;-8.7;4.1;2916
2.6;89.89;4.4;-8.7;4.7;34.6;4.4;-8.7;4.1;2916
2.7;93.35;4.4;-8.7;4.75;34.6;4.4;-8.7;4.1;2916
2.8;96.81;4.4;-8.7;4.8;34.6;4.4;-8.7;4.1;2916
2.9;100.27;4.4;-8.7;4.85;34.6;4.4;-8.7;4.1;2916
3;103.72;4.4;-8.7;4.9;34.6;4.4;-8.7;4.1;2916
3.1;107.18;4.4;-8.7;4.95;34.6;4.4;-8.7;4.1;2916
3.2;110.64;4.4;-8.7;5;34.6;4.4;-8.7;4.1;2916
3.3;114.1;4.4;-8.7;5.05;34.6;4.4;-8.7;4.1;2916
3.4;117.55;4.4;-8.7;5.1;34.6;4.4;-8.7;4.1;2916
3.5;121.01;4.4;-8.7;5.15;34.6;4.4;-8.7;4.1;2916
3.6;124.47;4.4;-8.7;5.2;34.6;4.4;-8.7;4.1;2916
3.7;127.93;4.4;-8.7;5.25;34.6;4.4;-8.7;4.1;2916
3.8;131.38;4.4;-8.7;5.3;34.6;4.4;-8.7;4.1;2916
3.9;134.84;4.4;-8.7;5.35;34.6;4.4;-8.7;4.1;2916
4;138.3;4.4;-8.7;5.4;34.6;4.4;-8.7;4.1;2916
4.1;141.76;4.4;-8.7;5.45;34.6;4.4;-8.7;4.1;2916
4.2;145.21;4.4;-8.7;5.5;0;0;0;0;0
