0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;
0.10;4.26;-26.33;8.40;7.65;44.10;-26.30;8.40;18.60;3442.00;
0.20;8.81;-26.20;8.39;7.70;47.00;-26.10;8.40;19.60;3645.00;
0.30;13.66;-26.07;8.37;7.75;50.00;-25.80;8.30;20.90;3839.00;
0.40;18.81;-25.94;8.35;7.81;52.90;-25.60;8.30;22.40;4027.00;
0.50;24.25;-25.83;8.33;7.86;55.90;-25.40;8.20;24.30;4210.00;
0.60;29.98;-25.72;8.31;7.92;58.80;-25.20;8.20;26.60;4390.00;
0.70;36.01;-25.62;8.28;7.97;61.70;-25.10;8.10;29.30;4566.00;
0.80;42.33;-25.52;8.26;8.03;64.70;-24.90;8.10;32.40;4740.00;
0.90;48.94;-25.43;8.24;8.09;67.60;-24.80;8.10;35.90;4911.00;
1.00;55.84;-25.34;8.21;8.14;70.50;-24.70;8.00;40.00;5080.00;
1.10;63.04;-25.26;8.18;8.20;73.50;-24.60;8.00;44.60;5247.00;
1.20;70.54;-25.18;8.16;8.26;76.40;-24.50;7.90;49.70;5412.00;
1.30;78.32;-25.10;8.13;8.32;79.30;-24.40;7.80;55.40;5576.00;
1.40;86.40;-25.03;8.10;8.38;82.30;-24.30;7.80;61.60;5739.00;
1.50;94.63;-24.97;8.07;8.44;82.30;-24.30;7.80;61.60;5740.00;
1.60;102.86;-24.91;8.05;8.49;82.30;-24.30;7.80;61.70;5741.00;
1.70;111.09;-24.87;8.03;8.55;82.30;-24.30;7.80;61.70;5742.00;
1.80;119.32;-24.83;8.02;8.60;82.30;-24.30;7.80;61.70;5743.00;
1.90;127.55;-24.79;8.00;8.66;82.30;-24.30;7.80;61.70;5744.00;
2.00;135.78;-24.76;7.99;8.71;82.30;-24.30;7.80;61.70;5745.00;
2.10;144.01;-24.74;7.98;8.77;82.30;-24.30;7.80;61.70;5746.00;
2.20;152.24;-24.71;7.97;8.82;82.30;-24.30;7.80;61.80;5747.00;
2.30;160.47;-24.69;7.96;8.87;82.30;-24.30;7.80;61.80;5747.00;
2.40;168.71;-24.67;7.95;8.93;82.30;-24.30;7.80;61.80;5748.00;
2.50;176.94;-24.66;7.95;8.98;82.30;-24.30;7.80;61.80;5749.00;
2.60;184.87;-24.66;7.94;9.03;76.20;-25.30;7.70;56.50;4722.00;
2.70;191.80;-24.72;7.93;9.07;62.60;-27.60;7.70;46.70;2806.00;
2.80;197.19;-24.82;7.92;9.11;46.00;-30.30;7.60;34.00;1288.00;
2.90;201.22;-24.95;7.91;9.13;35.00;-32.50;7.70;26.30;511.00;
3.00;203.83;-25.04;7.91;9.15;18.30;-32.90;7.10;3.90;209.00;
3.10;204.90;-25.08;7.90;9.16;3.10;-32.90;6.40;0.00;36.00;
3.13;204.93;-25.08;7.90;9.16;0.00;0.00;0.00;0.00;0.00;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;; 
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
